group,anchor,factor,n_points,is_configured
g2,cucumber,2.086329940467597,523,True
g2,strawberry,2.086327953162033,523,True
g3,cucumber,1.0046280985862899,523,True
g3,strawberry,1.0040418250779957,523,True
g4,cucumber,0.9968370704716816,523,True
g4,strawberry,0.997302251434183,523,True
g5,cucumber,1.8787785486083224,523,True
g5,strawberry,1.8864817269966587,523,True
g6,cucumber,0.9995888253567605,523,True
g6,strawberry,0.9999462405304294,523,True
g7,cucumber,0.9967641873266428,523,True
g7,strawberry,0.9970972363838998,523,True
g8,cucumber,0.999180925301322,523,True
g8,strawberry,1.000072342683027,523,True
g9,cucumber,0.9984546662598978,523,True
g9,strawberry,0.9983440170698771,523,True
g10,cucumber,0.9986559933305502,523,True
g10,strawberry,0.9990950741416542,523,True
g11,cucumber,1.0025299347101775,523,True
g11,strawberry,1.0030571562753299,523,True
g12,cucumber,0.9925992876519563,523,True
g12,strawberry,0.9929928125670242,523,True
g13,cucumber,0.9909937987740168,523,True
g13,strawberry,0.9918461357328057,523,True
g14,cucumber,0.9885792835736245,523,True
g14,strawberry,0.9885284452662777,523,True
g15,cucumber,0.9908723881570226,523,True
g15,strawberry,0.9911862737006577,523,True
