crop,n_seams,noise_floor_med_abs_rel,noise_floor_p90_abs_rel
citrus × tangerina,2,0.06532110170972732,0.11757798307750919
chestnut,18,0.040897181633942084,0.10214513903336912
guava,18,0.020532953896278572,0.06357435914369099
mint,10,0.02011468933583297,0.06870983366982286
chayote,18,0.01902800106394542,0.058678613737944155
watermelon,18,0.01849322338094448,0.0528366867158273
carambola,18,0.017090743592468368,0.03598492694427584
pecan,18,0.016952721552962208,0.05384175292165425
blueberry,18,0.016470204795585922,0.03309114663285817
parsley,18,0.016440438262582957,0.04105933474085234
celery,18,0.01564029809691147,0.04044288871311813
radish,15,0.013603531300160418,0.0319027891606103
cauliflower,18,0.01315597640127917,0.02293122832084947
lettuce,18,0.012041452729232158,0.03020634896809557
blackberry,16,0.011673790735630272,0.025136448097730513
okra,18,0.01089280232946109,0.015016845350516454
strawberry,18,0.010825760625779286,0.0234026242138219
sugarcane,18,0.010825710820867836,0.11833844552596437
grapefruit,18,0.010825710820867779,0.09503708651738803
papaya,18,0.010610235822768639,0.02779128431996874
rosemary,18,0.009691682276453258,0.018819087571424135
plum,18,0.00941870570536872,0.017533666558174378
peach,18,0.009064639240171,0.015050127780403159
lime,18,0.008628248709907608,0.03353538007468311
spinach,18,0.008354834002341136,0.017682866479223174
grape,18,0.00781040163038952,0.010911617944870224
coriander,18,0.007623154727182254,0.01827421100516009
broccoli,14,0.007430288134059549,0.012662057435183631
carrot,5,0.007426617042834563,0.061895930639104084
basil,18,0.007349907916069864,0.01930249837665053
cucumber,18,0.0059125829220053674,0.030305496289866514
maize,13,0.005867369427756038,0.008119569598608
garlic,18,0.005485557070780336,0.007093170657111058
eggplant,18,0.005458665229756239,0.009472986166268543
pineapple,18,0.005088046061667573,0.008642479748527426
onion,18,0.005068835860737166,0.009395898241400864
peanut,18,0.004859599570263487,0.04214173784967746
pumpkin,18,0.004859599570263444,0.10127601717370993
avocado,18,0.004859599570263442,0.039819490693251545
sweet potato,18,0.004674325291592975,0.031296690209929
tomato,18,0.0039840653637763564,0.009996577606217633
banana,18,0.0038010657186606286,0.005340299722627554
coconut,18,0.0037036074976889164,0.004799964065630164
zucchini,18,0.0033378679882382686,0.007204752597506827
cabbage,18,0.0032779903678393715,0.06184840690078962
citrus fruit,18,0.003132865809575349,0.021980042491487245
lemon,18,0.0029125811228794237,0.0048293890812214435
potato,18,0.0012177514776762458,0.01736138956117563
bell pepper,18,0.0012177514776762323,0.048025334382215845
