date,crop,model,horizon,forecast
2026-01-04,Lime,SeasonalNaive,1,5.069549584781342
2026-01-11,Lime,SeasonalNaive,2,5.069549584781342
2026-01-18,Lime,SeasonalNaive,3,5.069549584781342
2026-01-25,Lime,SeasonalNaive,4,5.069549584781342
2026-02-01,Lime,SeasonalNaive,5,5.069549584781342
2026-02-08,Lime,SeasonalNaive,6,5.069549584781342
2026-02-15,Lime,SeasonalNaive,7,5.069549584781342
2026-02-22,Lime,SeasonalNaive,8,5.069549584781342
2026-03-01,Lime,SeasonalNaive,9,5.069549584781342
2026-03-08,Lime,SeasonalNaive,10,5.069549584781342
2026-03-15,Lime,SeasonalNaive,11,5.069549584781342
2026-03-22,Lime,SeasonalNaive,12,5.069549584781342
2026-03-29,Lime,SeasonalNaive,13,5.069549584781342
2026-01-04,Cabbage,SeasonalNaive,1,5.576504543259476
2026-01-11,Cabbage,SeasonalNaive,2,5.576504543259476
2026-01-18,Cabbage,SeasonalNaive,3,5.576504543259476
2026-01-25,Cabbage,SeasonalNaive,4,5.576504543259476
2026-02-01,Cabbage,SeasonalNaive,5,5.576504543259476
2026-02-08,Cabbage,SeasonalNaive,6,5.576504543259476
2026-02-15,Cabbage,SeasonalNaive,7,5.576504543259476
2026-02-22,Cabbage,SeasonalNaive,8,5.576504543259476
2026-03-01,Cabbage,SeasonalNaive,9,5.576504543259476
2026-03-08,Cabbage,SeasonalNaive,10,5.576504543259476
2026-03-15,Cabbage,SeasonalNaive,11,5.576504543259476
2026-03-22,Cabbage,SeasonalNaive,12,5.576504543259476
2026-03-29,Cabbage,SeasonalNaive,13,5.576504543259476
2026-01-04,Pineapple,SeasonalNaive,1,9.632144211084553
2026-01-11,Pineapple,SeasonalNaive,2,9.632144211084553
2026-01-18,Pineapple,SeasonalNaive,3,9.632144211084553
2026-01-25,Pineapple,SeasonalNaive,4,9.632144211084553
2026-02-01,Pineapple,SeasonalNaive,5,9.632144211084553
2026-02-08,Pineapple,SeasonalNaive,6,9.632144211084553
2026-02-15,Pineapple,SeasonalNaive,7,9.632144211084553
2026-02-22,Pineapple,SeasonalNaive,8,9.632144211084553
2026-03-01,Pineapple,SeasonalNaive,9,9.632144211084553
2026-03-08,Pineapple,SeasonalNaive,10,9.632144211084553
2026-03-15,Pineapple,SeasonalNaive,11,9.632144211084553
2026-03-22,Pineapple,SeasonalNaive,12,9.632144211084553
2026-03-29,Pineapple,SeasonalNaive,13,9.632144211084553
2026-01-04,Carrot,SeasonalNaive,1,0.3787193296827127
2026-01-11,Carrot,SeasonalNaive,2,0.3787193296827127
2026-01-18,Carrot,SeasonalNaive,3,0.3787193296827127
2026-01-25,Carrot,SeasonalNaive,4,0.3787193296827127
2026-02-01,Carrot,SeasonalNaive,5,0.3787193296827127
