crop,zero_frac,sparse,passes_gate
Guava,0.8011472275334608,True,False
Banana,0.8011472275334608,True,False
Papaya,0.8011472275334608,True,False
Pecan Nut,0.7552581261950286,True,False
Mint,0.45315487571701724,True,False
Broccoli,0.2638623326959847,True,False
Radish,0.2084130019120459,True,False
Lime,0.1988527724665392,False,True
Cabbage,0.1988527724665392,False,True
Pineapple,0.1988527724665392,False,True
Carrot,0.15487571701720843,False,True
Blackberry,0.13001912045889102,False,True
Potato,0.12045889101338432,False,True
Avocado,0.0994263862332696,False,True
Chayote,0.0019120458891013384,False,True
Peanut,0.0,False,True
Bell Pepper,0.0,False,True
Strawberry,0.0,False,True
Cucumber,0.0,False,True
Blueberry,0.0,False,True
Mango,0.0,False,True
Watermelon,0.0,False,True
Tomato,0.0,False,True
Corn,0.0,False,True
Grapefruit,0.0,False,True
Lemon,0.0,False,True
Pumpkin,0.0,False,True
Peach,0.0,False,True
Celery,0.0,False,True
Lettuce,0.0,False,True
Grape,0.0,False,True
Eggplant,0.0,False,True
Zucchini,0.0,False,True
Okra,0.0,False,True
Sugarcane,0.0,False,True
Rosemary,0.0,False,True
Citrus Fruit,0.0,False,True
Plum,0.0,False,True
Cauliflower,0.0,False,True
Walnut,0.0,False,True
Coconut,0.0,False,True
Coriander,0.0,False,True
Basil,0.0,False,True
Parsley,0.0,False,True
Onion,0.0,False,True
Garlic,0.0,False,True
Spinach,0.0,False,True
