"Time","Cucumber","Peach","Coconut","Pecan","Chestnut"
"2021-06-27",32,45,78,10,3
"2021-07-04",27,53,80,10,3
"2021-07-11",28,48,78,11,3
"2021-07-18",29,43,81,11,3
"2021-07-25",27,42,75,11,3
"2021-08-01",26,37,74,9,3
"2021-08-08",25,34,73,11,3
"2021-08-15",26,35,76,11,3
"2021-08-22",24,35,70,11,3
"2021-08-29",23,34,64,12,3
"2021-09-05",26,32,71,12,3
"2021-09-12",23,27,60,11,3
"2021-09-19",23,25,48,11,4
"2021-09-26",26,23,51,12,4
"2021-10-03",25,22,50,12,5
"2021-10-10",25,19,65,14,5
"2021-10-17",24,19,64,13,6
"2021-10-24",22,17,64,14,5
"2021-10-31",22,17,62,16,6
"2021-11-07",20,16,65,22,8
"2021-11-14",22,18,64,36,10
"2021-11-21",19,23,76,100,13
"2021-11-28",19,15,63,26,7
"2021-12-05",21,16,63,23,7
"2021-12-12",20,15,68,28,9
"2021-12-19",21,18,84,51,12
"2021-12-26",20,20,80,19,8
"2022-01-02",23,17,77,15,5
"2022-01-09",28,18,76,15,5
"2022-01-16",25,19,75,15,4
"2022-01-23",24,19,73,14,3
"2022-01-30",25,21,73,13,3
"2022-02-06",26,19,76,13,4
"2022-02-13",27,20,76,13,4
"2022-02-20",28,20,78,13,4
"2022-02-27",30,21,83,12,3
"2022-03-06",29,22,72,12,4
"2022-03-13",29,22,76,12,3
"2022-03-20",30,22,83,12,2
"2022-03-27",32,22,77,12,3
"2022-04-03",33,25,75,12,3
"2022-04-10",33,25,83,15,3
"2022-04-17",35,26,79,12,3
"2022-04-24",36,30,79,13,3
"2022-05-01",37,29,74,11,2
"2022-05-08",42,30,84,12,3
"2022-05-15",45,30,78,11,3
"2022-05-22",44,37,79,11,2
"2022-05-29",45,46,80,12,3
"2022-06-05",44,47,79,11,3
"2022-06-12",44,57,83,12,3
"2022-06-19",43,61,88,11,3
"2022-06-26",43,60,96,12,3
