"Time","Cucumber","Coriander","Parsley","Mint","Rosemary","Basil"
"2020-12-27",69,42,22,0,39,40
"2021-01-03",61,45,23,0,32,40
"2021-01-10",63,47,20,0,29,40
"2021-01-17",63,48,20,0,31,45
"2021-01-24",67,48,20,0,33,44
"2021-01-31",66,50,22,0,30,46
"2021-02-07",67,51,22,0,31,44
"2021-02-14",67,47,21,0,31,49
"2021-02-21",69,47,21,0,34,51
"2021-02-28",72,49,22,0,33,44
"2021-03-07",72,42,22,0,36,47
"2021-03-14",76,46,22,0,33,41
"2021-03-21",76,45,25,4,34,52
"2021-03-28",84,48,24,6,38,49
"2021-04-04",82,46,22,6,37,52
"2021-04-11",78,49,22,6,28,49
"2021-04-18",76,46,20,6,34,51
"2021-04-25",88,43,20,61,34,54
"2021-05-02",89,51,22,10,36,54
"2021-05-09",87,43,20,5,35,46
"2021-05-16",94,46,23,7,36,54
"2021-05-23",93,48,18,7,36,54
"2021-05-30",100,45,22,6,35,55
"2021-06-06",92,46,17,7,34,54
"2021-06-13",94,42,21,7,31,52
"2021-06-20",91,40,20,6,32,52
"2021-06-27",90,42,19,8,32,49
"2021-07-04",77,44,19,7,31,48
"2021-07-11",80,40,20,7,33,51
"2021-07-18",82,41,20,7,38,50
"2021-07-25",76,42,19,5,35,51
"2021-08-01",73,45,20,4,37,46
"2021-08-08",71,46,19,4,35,49
"2021-08-15",75,42,19,5,34,50
"2021-08-22",69,46,17,5,30,45
"2021-08-29",66,43,17,7,33,47
"2021-09-05",72,39,20,5,35,47
"2021-09-12",65,35,18,6,33,43
"2021-09-19",64,45,19,3,28,45
"2021-09-26",73,45,16,4,28,45
"2021-10-03",71,43,17,6,28,51
"2021-10-10",70,41,19,4,30,42
"2021-10-17",68,38,17,6,31,42
"2021-10-24",61,39,20,5,30,39
"2021-10-31",62,40,19,7,37,40
"2021-11-07",56,41,18,4,36,44
"2021-11-14",61,38,17,4,40,39
"2021-11-21",54,35,23,3,55,38
"2021-11-28",53,37,15,4,40,35
"2021-12-05",61,33,15,4,34,38
"2021-12-12",57,38,16,4,40,36
"2021-12-19",61,40,22,6,52,42
"2021-12-26",57,42,20,6,43,46
