"Time","Cucumber","Basil","Coriander","Parsley","Mint","Rosemary"
"2023-06-25",90,39,27,10,25,24
"2023-07-02",100,43,27,12,28,25
"2023-07-09",91,39,25,10,25,24
"2023-07-16",93,40,25,10,23,23
"2023-07-23",99,39,23,10,23,25
"2023-07-30",91,37,23,10,21,25
"2023-08-06",88,37,23,10,21,25
"2023-08-13",80,35,22,10,20,24
"2023-08-20",72,34,22,9,17,24
"2023-08-27",61,32,22,9,20,23
"2023-09-03",61,33,22,9,20,23
"2023-09-10",55,29,21,9,19,24
"2023-09-17",47,30,21,9,17,25
"2023-09-24",43,27,21,9,18,26
"2023-10-01",39,26,19,8,16,24
"2023-10-08",38,26,20,9,15,23
"2023-10-15",36,23,20,9,16,24
"2023-10-22",34,23,19,9,16,24
"2023-10-29",31,23,16,9,15,24
"2023-11-05",35,21,18,9,17,27
"2023-11-12",34,21,17,9,17,28
"2023-11-19",33,20,19,13,17,43
"2023-11-26",31,19,16,8,18,28
"2023-12-03",32,19,18,8,17,28
"2023-12-10",33,19,18,8,19,27
"2023-12-17",32,20,18,9,21,33
"2023-12-24",34,21,17,11,18,34
"2023-12-31",40,23,23,10,16,30
"2024-01-07",43,22,22,9,16,26
"2024-01-14",39,21,23,9,17,25
"2024-01-21",41,21,22,9,17,25
"2024-01-28",41,22,22,9,15,23
"2024-02-04",40,21,23,9,16,23
"2024-02-11",38,21,21,9,15,21
"2024-02-18",44,23,22,9,20,25
"2024-02-25",44,23,22,11,18,23
"2024-03-03",46,22,23,10,18,23
"2024-03-10",48,23,23,10,22,24
"2024-03-17",50,25,25,10,22,25
"2024-03-24",49,25,23,10,22,28
"2024-03-31",48,25,24,9,21,25
"2024-04-07",58,27,24,10,22,25
"2024-04-14",59,30,25,11,24,24
"2024-04-21",61,29,27,12,24,27
"2024-04-28",64,30,25,10,43,26
"2024-05-05",67,33,28,10,27,26
"2024-05-12",71,33,26,10,25,27
"2024-05-19",76,35,28,11,27,26
"2024-05-26",77,37,27,12,29,27
"2024-06-02",90,35,25,10,26,24
"2024-06-09",78,38,26,10,25,24
"2024-06-16",82,38,24,10,27,24
"2024-06-23",81,39,23,10,25,24
"2024-06-30",92,40,26,9,28,24
