Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Walnut: (Florida),Basil: (Florida),Coriander: (Florida)
2019-06-30,13,24,5,6,5
2019-07-07,9,18,4,5,5
2019-07-14,10,20,4,5,5
2019-07-21,9,20,4,5,6
2019-07-28,9,19,4,6,5
2019-08-04,13,17,4,5,5
2019-08-11,8,18,4,5,5
2019-08-18,8,17,4,5,5
2019-08-25,7,14,3,4,4
2019-09-01,7,15,3,4,4
2019-09-08,7,15,4,5,4
2019-09-15,7,16,4,4,5
2019-09-22,7,15,4,4,5
2019-09-29,8,16,4,4,5
2019-10-06,7,15,4,4,4
2019-10-13,7,15,4,4,5
2019-10-20,7,15,4,5,5
2019-10-27,7,14,4,4,4
2019-11-03,7,16,4,4,4
2019-11-10,6,21,5,4,5
2019-11-17,6,17,5,4,4
2019-11-24,6,18,6,3,4
2019-12-01,5,14,5,3,4
2019-12-08,6,20,5,3,4
2019-12-15,6,20,5,4,4
2019-12-22,6,20,6,4,4
2019-12-29,7,23,5,4,5
2020-01-05,7,26,4,4,5
2020-01-12,8,29,4,4,5
2020-01-19,7,32,5,4,5
2020-01-26,7,32,5,4,5
2020-02-02,7,34,4,4,5
2020-02-09,7,47,4,4,5
2020-02-16,7,45,4,4,5
2020-02-23,7,83,4,4,5
2020-03-01,7,100,4,4,5
2020-03-08,7,39,4,4,4
2020-03-15,7,25,4,5,4
2020-03-22,9,26,4,6,6
2020-03-29,10,26,4,6,6
2020-04-05,13,29,5,7,8
2020-04-12,13,28,5,8,7
2020-04-19,16,31,5,8,8
2020-04-26,17,33,5,9,9
2020-05-03,16,36,5,8,10
2020-05-10,15,30,5,8,8
2020-05-17,16,33,5,8,8
2020-05-24,15,34,5,8,7
2020-05-31,13,32,5,8,7
2020-06-07,15,28,5,8,7
2020-06-14,14,30,4,8,7
2020-06-21,12,28,4,7,6
2020-06-28,14,31,4,8,7
