Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Parsley: (Florida),Mint: (Florida),Onion: (Florida)
2017-06-25,9,22,3,0,15
2017-07-02,9,24,3,0,16
2017-07-09,8,21,2,0,15
2017-07-16,8,19,2,0,14
2017-07-23,9,20,3,0,16
2017-07-30,8,20,3,0,16
2017-08-06,9,18,2,0,14
2017-08-13,9,18,2,0,15
2017-08-20,8,17,2,0,14
2017-08-27,7,16,2,0,16
2017-09-03,5,12,2,0,11
2017-09-10,5,11,1,0,10
2017-09-17,6,14,2,0,14
2017-09-24,6,13,2,0,15
2017-10-01,6,14,2,0,15
2017-10-08,7,15,2,0,15
2017-10-15,7,15,2,0,16
2017-10-22,7,15,2,0,16
2017-10-29,6,14,2,0,16
2017-11-05,7,15,2,0,15
2017-11-12,6,20,2,0,17
2017-11-19,6,18,3,0,22
2017-11-26,6,15,2,0,13
2017-12-03,6,21,2,0,16
2017-12-10,5,18,2,0,16
2017-12-17,6,20,2,0,17
2017-12-24,6,20,2,0,20
2017-12-31,6,20,2,0,22
2018-01-07,7,23,2,0,20
2018-01-14,7,26,2,0,19
2018-01-21,7,28,3,0,19
2018-01-28,7,35,2,0,18
2018-02-04,6,35,2,0,18
2018-02-11,7,43,2,0,18
2018-02-18,7,39,2,0,15
2018-02-25,6,79,2,0,14
2018-03-04,7,100,2,0,14
2018-03-11,7,41,3,0,14
2018-03-18,7,26,3,0,13
2018-03-25,8,24,3,0,15
2018-04-01,8,20,2,0,13
2018-04-08,9,19,3,0,16
2018-04-15,8,19,2,<1,14
2018-04-22,8,19,2,0,13
2018-04-29,9,21,2,0,14
2018-05-06,9,22,3,0,13
2018-05-13,9,18,2,0,13
2018-05-20,9,17,2,0,15
2018-05-27,10,19,2,0,15
2018-06-03,9,19,2,0,13
2018-06-10,9,20,2,0,14
2018-06-17,9,21,2,0,13
2018-06-24,9,25,2,0,14
