Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Garlic: (Florida),Spinach: (Florida),Broccoli: (Florida)
2023-01-01,8,27,20,11,14
2023-01-08,8,26,19,10,15
2023-01-15,8,32,21,11,15
2023-01-22,8,33,21,11,16
2023-01-29,8,36,21,10,16
2023-02-05,8,44,21,11,16
2023-02-12,8,52,21,11,15
2023-02-19,10,59,20,10,15
2023-02-26,9,100,20,10,15
2023-03-05,9,82,20,11,15
2023-03-12,10,35,22,11,14
2023-03-19,10,27,21,11,15
2023-03-26,10,28,20,10,15
2023-04-02,11,27,21,12,17
2023-04-09,10,25,21,11,15
2023-04-16,12,24,21,10,14
2023-04-23,12,23,21,10,14
2023-04-30,12,23,21,10,13
2023-05-07,12,29,20,10,14
2023-05-14,12,25,22,10,14
2023-05-21,13,28,22,10,14
2023-05-28,13,27,22,9,13
2023-06-04,13,31,22,10,13
2023-06-11,13,29,22,9,14
2023-06-18,11,28,23,10,14
2023-06-25,12,27,22,9,14
2023-07-02,12,28,22,10,14
2023-07-09,11,25,21,9,14
2023-07-16,11,24,21,9,13
2023-07-23,10,23,21,9,14
2023-07-30,10,23,21,9,14
2023-08-06,10,20,20,9,14
2023-08-13,10,19,21,9,14
2023-08-20,10,20,21,9,14
2023-08-27,9,20,20,9,13
2023-09-03,9,21,20,9,13
2023-09-10,10,19,21,10,14
2023-09-17,9,19,23,10,15
2023-09-24,8,17,22,10,14
2023-10-01,9,17,21,9,13
2023-10-08,9,17,21,9,14
2023-10-15,7,18,21,9,14
2023-10-22,8,17,22,10,15
2023-10-29,7,15,20,10,14
2023-11-05,7,17,21,10,14
2023-11-12,7,18,22,10,17
2023-11-19,7,20,27,14,21
2023-11-26,7,17,19,9,13
2023-12-03,6,20,20,10,13
2023-12-10,7,18,22,11,14
2023-12-17,6,18,23,17,16
2023-12-24,7,19,26,14,16
2023-12-31,8,23,25,12,16
