"Time","Cucumber","Tomato","Guava","Pineapple","Papaya"
"2020-12-27",23,88,8,56,15
"2021-01-03",21,85,7,46,13
"2021-01-10",21,90,6,46,11
"2021-01-17",21,90,8,48,13
"2021-01-24",23,90,7,47,14
"2021-01-31",22,98,7,46,13
"2021-02-07",22,100,8,50,14
"2021-02-14",23,100,8,54,15
"2021-02-21",23,91,8,56,16
"2021-02-28",24,92,9,55,15
"2021-03-07",24,84,9,53,15
"2021-03-14",25,84,8,55,15
"2021-03-21",25,84,9,60,16
"2021-03-28",28,85,9,63,16
"2021-04-04",27,87,9,61,14
"2021-04-11",25,88,9,56,14
"2021-04-18",25,95,9,61,15
"2021-04-25",29,91,8,60,15
"2021-05-02",30,96,10,61,16
"2021-05-09",29,86,9,60,16
"2021-05-16",31,90,10,61,15
"2021-05-23",31,89,9,67,17
"2021-05-30",33,91,9,62,15
"2021-06-06",31,92,9,63,16
"2021-06-13",31,87,9,61,17
"2021-06-20",30,85,10,61,16
"2021-06-27",30,85,8,64,16
"2021-07-04",26,82,9,60,15
"2021-07-11",26,85,10,68,16
"2021-07-18",27,88,10,71,16
"2021-07-25",26,83,11,71,16
"2021-08-01",25,82,10,70,15
"2021-08-08",23,80,11,65,16
"2021-08-15",25,84,11,65,16
"2021-08-22",23,85,10,63,15
"2021-08-29",22,82,10,59,14
"2021-09-05",24,86,9,55,14
"2021-09-12",22,82,9,50,15
"2021-09-19",21,84,8,53,15
"2021-09-26",23,89,9,49,16
"2021-10-03",24,86,9,51,15
"2021-10-10",24,85,8,53,14
"2021-10-17",23,86,8,52,15
"2021-10-24",21,95,7,53,13
"2021-10-31",20,97,8,51,12
"2021-11-07",19,90,9,53,13
"2021-11-14",20,86,8,54,14
"2021-11-21",18,84,9,74,14
"2021-11-28",18,78,7,48,13
"2021-12-05",20,81,7,54,13
"2021-12-12",19,95,8,52,13
"2021-12-19",20,95,9,71,15
"2021-12-26",19,96,8,65,14
