"Time","Cucumber","Peanut","Avocado","Pumpkin","Cabbage"
"2015-12-27",4,8,6,4,5
"2016-01-03",4,8,6,3,4
"2016-01-10",3,7,7,3,4
"2016-01-17",4,7,7,3,4
"2016-01-24",4,8,7,3,4
"2016-01-31",4,7,7,3,4
"2016-02-07",3,8,7,3,4
"2016-02-14",3,7,6,2,4
"2016-02-21",4,8,6,2,4
"2016-02-28",4,7,7,3,5
"2016-03-06",4,7,7,2,7
"2016-03-13",4,7,7,3,22
"2016-03-20",4,8,8,2,6
"2016-03-27",4,7,7,2,4
"2016-04-03",4,7,7,3,4
"2016-04-10",4,8,8,2,4
"2016-04-17",5,7,7,2,3
"2016-04-24",5,7,8,2,3
"2016-05-01",5,7,9,2,3
"2016-05-08",5,7,9,2,3
"2016-05-15",5,7,8,3,3
"2016-05-22",6,8,8,2,3
"2016-05-29",5,8,8,2,3
"2016-06-05",5,8,8,2,3
"2016-06-12",5,7,7,3,3
"2016-06-19",5,8,7,3,3
"2016-06-26",5,8,7,2,3
"2016-07-03",5,7,8,2,2
"2016-07-10",5,7,7,2,3
"2016-07-17",4,8,7,3,3
"2016-07-24",5,8,7,3,3
"2016-07-31",5,7,7,3,3
"2016-08-07",4,6,7,4,3
"2016-08-14",4,7,7,5,3
"2016-08-21",4,8,8,5,3
"2016-08-28",3,7,7,7,3
"2016-09-04",4,7,7,11,3
"2016-09-11",4,7,7,13,3
"2016-09-18",3,8,7,17,3
"2016-09-25",3,8,6,23,4
"2016-10-02",3,7,5,27,3
"2016-10-09",3,8,5,47,3
"2016-10-16",3,8,6,71,4
"2016-10-23",3,8,6,100,4
"2016-10-30",3,10,5,63,4
"2016-11-06",3,10,5,16,4
"2016-11-13",3,10,5,20,3
"2016-11-20",3,12,5,48,4
"2016-11-27",3,10,5,8,3
"2016-12-04",3,12,5,6,3
"2016-12-11",3,14,5,6,3
"2016-12-18",3,18,5,8,4
"2016-12-25",3,10,6,5,4
"2017-01-01",4,10,7,4,6
