"Time","Cucumber","Lemon","Lime","Grape","Peach"
"2019-12-29",17,64,20,36,15
"2020-01-05",17,64,18,21,15
"2020-01-12",18,67,19,22,14
"2020-01-19",16,68,18,22,14
"2020-01-26",16,61,19,22,16
"2020-02-02",17,60,22,23,14
"2020-02-09",17,68,20,21,15
"2020-02-16",17,65,21,22,16
"2020-02-23",16,62,22,23,17
"2020-03-01",16,65,21,22,15
"2020-03-08",16,65,23,22,14
"2020-03-15",16,69,23,19,17
"2020-03-22",21,86,25,23,19
"2020-03-29",24,81,24,24,21
"2020-04-05",32,100,27,25,26
"2020-04-12",31,86,26,25,26
"2020-04-19",38,89,30,27,27
"2020-04-26",39,89,28,25,30
"2020-05-03",37,89,39,25,33
"2020-05-10",34,86,30,25,31
"2020-05-17",36,82,27,25,32
"2020-05-24",36,88,27,24,34
"2020-05-31",31,75,27,24,32
"2020-06-07",35,78,30,24,38
"2020-06-14",33,79,28,26,42
"2020-06-21",28,80,29,25,39
"2020-06-28",32,83,31,29,50
"2020-07-05",26,77,28,29,47
"2020-07-12",28,74,27,26,44
"2020-07-19",27,84,28,26,38
"2020-07-26",27,82,27,25,37
"2020-08-02",26,75,28,27,45
"2020-08-09",26,73,28,29,45
"2020-08-16",23,69,27,28,36
"2020-08-23",20,70,25,28,35
"2020-08-30",22,63,24,28,28
"2020-09-06",23,68,25,32,29
"2020-09-13",18,63,24,30,25
"2020-09-20",18,60,22,29,26
"2020-09-27",20,58,21,30,23
"2020-10-04",18,60,19,27,18
"2020-10-11",18,61,19,26,20
"2020-10-18",19,61,19,28,19
"2020-10-25",20,61,18,26,18
"2020-11-01",13,47,15,20,13
"2020-11-08",17,56,17,23,16
"2020-11-15",18,63,18,24,16
"2020-11-22",16,69,19,23,20
"2020-11-29",14,54,15,19,16
"2020-12-06",15,59,16,19,16
"2020-12-13",16,61,16,19,17
"2020-12-20",14,73,20,25,20
"2020-12-27",19,66,19,36,19
