"Time","Cucumber","Grapefruit","Citrus fruit","Sweet potato","Sugarcane"
"2018-12-30",6,4,16,12,2
"2019-01-06",7,4,14,13,2
"2019-01-13",7,5,14,12,2
"2019-01-20",6,4,15,12,2
"2019-01-27",7,4,13,11,2
"2019-02-03",6,4,14,11,2
"2019-02-10",6,4,14,10,2
"2019-02-17",7,5,14,10,2
"2019-02-24",6,5,14,11,2
"2019-03-03",6,6,14,10,2
"2019-03-10",7,5,14,10,2
"2019-03-17",7,5,14,10,2
"2019-03-24",7,4,16,10,2
"2019-03-31",7,3,15,10,2
"2019-04-07",7,4,15,10,2
"2019-04-14",8,4,14,14,2
"2019-04-21",8,3,14,13,2
"2019-04-28",9,4,13,9,2
"2019-05-05",8,3,12,8,2
"2019-05-12",8,3,13,9,2
"2019-05-19",9,3,12,9,2
"2019-05-26",10,4,12,8,2
"2019-06-02",9,4,12,9,2
"2019-06-09",8,4,11,10,2
"2019-06-16",8,3,12,10,2
"2019-06-23",8,3,11,9,2
"2019-06-30",12,3,11,9,2
"2019-07-07",8,3,11,10,2
"2019-07-14",9,3,12,9,2
"2019-07-21",8,3,11,10,2
"2019-07-28",8,4,11,10,2
"2019-08-04",12,3,11,10,2
"2019-08-11",7,3,11,9,2
"2019-08-18",7,3,11,10,2
"2019-08-25",6,3,9,8,2
"2019-09-01",6,2,10,9,2
"2019-09-08",6,3,11,9,2
"2019-09-15",6,3,11,10,2
"2019-09-22",6,3,11,10,2
"2019-09-29",7,3,12,10,2
"2019-10-06",6,3,12,11,2
"2019-10-13",6,3,11,11,2
"2019-10-20",6,3,12,12,2
"2019-10-27",6,3,11,11,2
"2019-11-03",6,3,12,15,2
"2019-11-10",6,3,12,18,2
"2019-11-17",5,3,14,32,2
"2019-11-24",6,3,19,100,2
"2019-12-01",5,3,13,14,2
"2019-12-08",5,3,14,11,2
"2019-12-15",5,3,16,14,2
"2019-12-22",5,3,19,28,2
"2019-12-29",6,4,19,12,2
