"Time","Cucumber","Okra","Zucchini","Eggplant","Radish"
"2018-07-01",77,25,72,56,0
"2018-07-08",71,23,73,56,0
"2018-07-15",70,30,76,58,0
"2018-07-22",72,26,76,60,0
"2018-07-29",64,27,71,60,0
"2018-08-05",63,27,79,55,0
"2018-08-12",62,29,73,53,0
"2018-08-19",66,22,71,55,0
"2018-08-26",58,22,59,49,0
"2018-09-02",63,22,66,53,0
"2018-09-09",54,22,59,47,0
"2018-09-16",58,21,67,49,0
"2018-09-23",55,20,64,49,0
"2018-09-30",57,23,63,54,0
"2018-10-07",56,21,60,48,0
"2018-10-14",56,16,56,47,0
"2018-10-21",54,20,57,53,0
"2018-10-28",47,17,54,51,0
"2018-11-04",48,19,59,44,0
"2018-11-11",52,19,58,49,0
"2018-11-18",54,22,88,39,0
"2018-11-25",45,16,53,42,0
"2018-12-02",44,17,51,47,0
"2018-12-09",44,17,48,44,2
"2018-12-16",38,16,52,50,9
"2018-12-23",51,15,54,45,14
"2018-12-30",53,20,60,53,15
"2019-01-06",61,18,75,57,15
"2019-01-13",56,19,71,57,17
"2019-01-20",51,17,69,59,18
"2019-01-27",60,17,68,57,16
"2019-02-03",55,17,64,58,15
"2019-02-10",54,16,59,58,17
"2019-02-17",59,19,61,54,18
"2019-02-24",53,18,60,56,15
"2019-03-03",54,18,62,54,16
"2019-03-10",63,17,57,52,17
"2019-03-17",60,19,55,50,17
"2019-03-24",62,23,60,57,17
"2019-03-31",63,21,60,51,17
"2019-04-07",64,21,60,57,23
"2019-04-14",68,18,63,59,19
"2019-04-21",65,21,60,52,17
"2019-04-28",74,22,68,58,16
"2019-05-05",67,25,65,51,17
"2019-05-12",70,23,68,53,14
"2019-05-19",81,21,77,54,15
"2019-05-26",82,25,71,54,14
"2019-06-02",75,25,70,60,13
"2019-06-09",67,23,72,60,15
"2019-06-16",72,22,68,60,13
"2019-06-23",73,24,67,56,13
"2019-06-30",100,26,68,60,12
