"Time","Cucumber","Blackberry","Carambola","Citrus × tangerina","Plum","Chayote"
"2017-01-01",69,0,18,0,22,5
"2017-01-08",70,0,15,0,24,6
"2017-01-15",71,0,20,0,28,8
"2017-01-22",67,0,20,0,34,8
"2017-01-29",65,0,17,0,33,8
"2017-02-05",67,0,14,0,35,7
"2017-02-12",74,0,14,0,36,5
"2017-02-19",69,0,11,0,42,7
"2017-02-26",70,0,9,0,39,6
"2017-03-05",75,0,9,0,38,8
"2017-03-12",76,0,8,0,40,7
"2017-03-19",83,0,7,0,36,8
"2017-03-26",90,0,8,0,39,6
"2017-04-02",83,0,5,0,35,5
"2017-04-09",88,0,5,0,37,5
"2017-04-16",85,0,5,0,38,9
"2017-04-23",81,0,6,0,35,6
"2017-04-30",86,0,6,0,34,5
"2017-05-07",91,0,6,0,33,8
"2017-05-14",90,0,7,0,31,6
"2017-05-21",100,0,6,0,33,8
"2017-05-28",100,0,4,0,31,6
"2017-06-04",94,0,7,0,33,7
"2017-06-11",96,0,7,0,34,9
"2017-06-18",92,0,7,0,34,6
"2017-06-25",88,0,6,0,37,8
"2017-07-02",95,0,7,0,40,7
"2017-07-09",84,0,6,0,38,6
"2017-07-16",83,0,8,0,44,9
"2017-07-23",88,0,11,0,45,10
"2017-07-30",83,0,10,0,42,9
"2017-08-06",85,0,14,0,39,7
"2017-08-13",85,0,17,0,35,6
"2017-08-20",80,0,14,0,41,8
"2017-08-27",70,0,15,0,41,7
"2017-09-03",54,0,10,0,30,5
"2017-09-10",47,0,12,0,29,5
"2017-09-17",64,0,9,0,40,5
"2017-09-24",63,0,5,0,38,6
"2017-10-01",57,0,7,0,38,7
"2017-10-08",74,0,6,0,38,6
"2017-10-15",66,0,6,0,43,5
"2017-10-22",70,0,6,0,41,8
"2017-10-29",60,0,5,0,37,5
"2017-11-05",68,0,5,0,36,5
"2017-11-12",63,0,6,0,36,5
"2017-11-19",57,0,5,0,31,7
"2017-11-26",56,0,5,0,32,4
"2017-12-03",57,0,6,0,31,6
"2017-12-10",53,0,6,0,29,5
"2017-12-17",59,0,10,0,36,6
"2017-12-24",58,0,9,0,35,6
"2017-12-31",60,0,11,0,35,7
